name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;242;0;288;3061;975;3061;975;0
header;143;118;143;153;1766;153;1766;118
A;939;181;939;209;963;209;963;181
A;290;394;290;394;290;394;290;394
B;936;858;936;886;957;886;957;858
C;932;1524;932;1554;954;1554;954;1524
B;625;1540;625;1555;646;1555;646;1540
A;904;1599;904;1604;916;1604;916;1599
A;729;1651;729;1651;729;1651;729;1651
B;904;2008;904;2025;917;2025;917;2008
D;934;2193;934;2220;956;2220;956;2193
B;582;2377;582;2396;596;2396;596;2377
B;668;2420;668;2440;682;2440;682;2420
B;960;2596;960;2611;982;2611;982;2596
B;407;2599;407;2615;430;2615;430;2599
B;632;2680;632;2707;653;2707;653;2680
A;740;2916;740;2917;743;2917;743;2916
