name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;482;0;898;3061;1036;3061;1013;0
header;238;128;238;161;1850;161;1850;128
A;769;242;769;258;778;258;778;242
B;668;332;668;348;678;348;678;332
B;681;423;681;441;695;441;695;423
B;798;596;798;611;819;611;819;596
A;860;605;860;621;869;621;869;605
A;939;798;939;809;946;809;946;798
D;749;1603;749;1620;759;1620;759;1603
A;841;1648;841;1665;849;1665;849;1648
B;885;2069;885;2082;893;2082;893;2069
B;822;2489;822;2504;844;2504;844;2489
D;894;2593;894;2610;902;2610;902;2593
B;856;2699;856;2715;865;2715;865;2699
A;944;2766;944;2783;952;2783;952;2766
